tmk,year_tce,total_value,public_costce_discounted
67015053,2030,1808200,1420208.0080826792
67015054,2100,1922200,178130.6493289747
67015055,2100,1960400,190601.669673037
67015056,2100,1890400,195891.60666618057
68004001,2075,4827400,964481.2067461811
68004005,2075,3844500,798833.2357827498
68004011,2075,2728600,562542.6494711741
68004012,2050,2842400,1254013.5531013508
68004013,2075,3425100,650156.1133795197
68004014,2075,2845700,506817.6195247511
68004015,2030,2702000,2173524.100782103
68004017,2075,2064200,361878.14884433936
68004018,2050,4280500,1745818.449032303
68004019,2075,2345800,412848.04022402095
68004020,2050,2594500,1156526.7818415177
68004021,2075,2382700,419500.7725315636
68004022,2075,2579800,467802.3771818967
68004023,2075,2840900,528101.4235357624
68004024,2075,3247200,627812.1004160506
68004025,2075,3012800,588886.3730050558
68004026,2100,4011700,341521.64928926574
68004028,2075,2195500,486222.4210469939
68004029,2030,2350200,1968255.5000579243
68004030,2030,1767600,1423427.8389151949
68004031,2030,2545600,2029416.4498859087
68004032,2030,2812700,2242050.0074261026
68004033,2050,3096800,1435969.8319315591
68005005,2100,2938700,281331.66163431894
68005009,2100,4708700,475022.0971672801
68005014,2075,2267800,502174.9963696509
68005015,2075,2793100,614072.7313110568
68005016,2075,3102400,657342.9339205619
68005020,2075,2566600,506670.5054070516
68005021,2075,2452700,493323.67215568206
68005022,2050,2713200,1258096.534486149
68005023,2100,2561100,217226.65421147546
68005025,2075,2895600,588299.4301465373
68005027,2075,3383100,692855.445599641
68005028,2030,3215800,2693181.872643295
68005029,2100,3833000,362196.56385464605
68005030,2075,2667700,561375.7217287526
68005045,2100,2238000,229700.1708288083
68005051,2100,2904600,288641.0550708085
68006002,2030,2498900,1958869.0437589998
68006003,2024,2571000,2226270.2487000003
68006004,2024,2785200,2391494.0748
68006005,2024,2620400,2406070.6399999997
68006006,2030,2632500,2081382.307395143
68006012,2075,2678600,455066.2797083932
68006013,2075,3755900,710940.8270126682
68006018,2030,2369700,1839855.1138724298
68006019,2030,2992900,2326923.705164968
